Designator,Mid X,Mid Y,Layer,Rotation
C1, 3.96,23.12,Top,90.0
C2, 5.08,23.11,Top,90.0
C3, 5.08,18.53,Top,270.0
C4, 4.37, 8.64,Top,90.0
C5, 3.18, 8.64,Top,90.0
C6, 4.37,11.94,Top,90.0
C7, 3.27,11.94,Top,90.0
C10,12.70, 4.62,Top,90.0
C11,20.83, 7.17,Top,270.0
C12,12.70, 7.11,Top,270.0
C13,22.21, 7.28,Top,270.0
LED1, 1.83,23.62,Top,90.0
LED4, 8.98, 3.69,Top,270.0
R1, 5.08,20.81,Top,90.0
R2,10.92,13.10,Top,180.0
R3, 3.25,20.32,Top,180.0
R4,22.07,24.73,Top,0.0
R5, 2.59,22.10,Top,90.0
R6, 3.75, 6.81,Top,180.0
R7, 3.40,18.20,Top,0.0
R8,22.23,11.61,Top,90.0
R9,21.87,19.90,Top,180.0
R10,19.40, 6.50,Top,270.0
R11,22.23, 9.51,Top,90.0
R12,22.24,13.69,Top,270.0
R13,20.24,19.38,Top,270.0
R14,21.87,18.84,Top,180.0
R15,20.16,21.64,Top,270.0
R20, 5.20,15.40,Top,270.0
R21, 4.00,15.40,Top,270.0
R22,12.60, 1.40,Top,270.0
T1,21.19,16.64,Top,90.0
T2,23.21,22.53,Top,90.0
U$9, 1.52,22.61,Top,180.0
U1,12.70,22.50,Top,0.0
U2, 9.48,10.42,Top,270.0
U3,16.00, 3.76,Top,270.0
U4,17.78,11.18,Top,180.0
